node	property	value_or_TYPE
aliquot	aliquot_id	NA
aliquot	aliquot_is_ref	No
aliquot	aliquot_is_ref	Yes
aliquot	aliquot_quantity	NUMBER
aliquot	aliquot_submitter_id	NA
aliquot	aliquot_volume	NUMBER
aliquot	amount	NA
aliquot	analyte_type	NA
aliquot	analyte_type_id	NA
aliquot	concentration	NA
aliquot	pool	NA
aliquot	project_id	NA
aliquot	project_submitter_id	NA
aliquot	sample_id	NA
aliquot	sample_submitter_id	NA
aliquot	status	NA
aliquot_run_metadata	acquisition_file_name	STRING
aliquot_run_metadata	aliquot_id	NA
aliquot_run_metadata	aliquot_run_metadata_id	STRING
aliquot_run_metadata	aliquot_submitter_id	NA
aliquot_run_metadata	analyte	NA
aliquot_run_metadata	condition	NA
aliquot_run_metadata	date	NA
aliquot_run_metadata	experiment_number	NA
aliquot_run_metadata	experiment_type	NA
aliquot_run_metadata	fraction	NA
aliquot_run_metadata	instrument	NA
aliquot_run_metadata	label	STRING
aliquot_run_metadata	operator	NA
aliquot_run_metadata	protocol	STRING
aliquot_run_metadata	protocol_id	NA
aliquot_run_metadata	protocol_submitter_id	NA
aliquot_run_metadata	replicate_number	NA
aliquot_run_metadata	study_id	NA
aliquot_run_metadata	study_run_metadata_id	NA
aliquot_run_metadata	study_run_metadata_submitter_id	NA
aliquot_run_metadata	study_submitter_id	NA
analyte	a260_a280_ratio	NUMBER
analyte	amount	NA
analyte	analyte_id	STRING
analyte	analyte_quantity	NUMBER
analyte	analyte_submitter_id	STRING
analyte	analyte_type	NA
analyte	analyte_type_id	NA
analyte	analyte_volume	NUMBER
analyte	concentration	NA
analyte	experimental_protocol_type	Allprep FFPE DNA
analyte	experimental_protocol_type	Allprep RNA Extraction
analyte	experimental_protocol_type	Chemical Lysis DNA Extraction
analyte	experimental_protocol_type	Genomplex
analyte	experimental_protocol_type	HighPure miRNA (Allprep DNA) FFPE RNA
analyte	experimental_protocol_type	Pre-extracted DNA received by TSS
analyte	experimental_protocol_type	Repli-G
analyte	experimental_protocol_type	Repli-G X
analyte	experimental_protocol_type	Total RNA
analyte	experimental_protocol_type	aDNA Preparation Type
analyte	experimental_protocol_type	mirVana (Allprep DNA) RNA
